invoice_id,vendor_name,vendor_gstin,invoice_date,taxable_amount_paise,total_paise,recorded_date
INV0303,TATA CONSULTANCY SERVICES LIMITED,27AADCT2765Q1ZO,2025-07-04,35615000,35615000,2025-07-04
INV0506,COGNIZANT TECHNOLOGY SOLS PVT LTD,33AABCC1234K1ZT,2024-07-08,8336700,8336700,2024-07-08
INV0306,COGNIZANT TECHNOLOGY SOLS PVT LTD,33AABCC1234K1ZT,2025-06-09,26299800,26299800,2025-06-09
INV-0104,INFOSYS BPO PRIVATE LIMITED,29AABCI1234P1Z5,2025-07-18,41602600,41602600,2025-07-18
INV0501,HCL TECHNOLOGIES LIMITED,06AABCH1234N1ZR,2024-12-18,20891400,20891400,2024-12-18
INV0201,Infosys BPO Pvt Ltd,29AABCI1234P1Z5,2026-03-31,25568300,25568300,2026-03-31
INV0203,Tata Consultancy Services Ltd,27AADCT2765Q1ZO,2026-03-31,6588900,6588900,2026-03-31
INV0108,HCL TECHNOLOGIES LIMITED,06AABCH1234N1ZR,2025-07-26,19573800,19573800,2025-07-28
INV0213,Infosys BPO Pvt Ltd,29AABCI1234P1Z5,2026-03-28,20176000,20176000,2026-03-28
INV0401,Infosys BPO Pvt Ltd,29AABCI1234P1Z5,2025-04-27,39966500,39966500,2025-04-27
INV/0101,TATA CONSULTANCY SERVICES LIMITED,27AADCT2765Q1ZO,2025-06-10,6311200,6311200,2025-06-10
INV/0112,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2025-06-03,12320600,12320600,2025-06-06
INV0208,Wipro Technologies,29AABCW1234M1ZP,2026-03-31,29288100,29288100,2026-03-31
INV0215,Infosys BPO Pvt Ltd,29AABCI1234P1Z5,2026-03-31,11962900,11962900,2026-03-31
INV0212,Tata Consultancy Services Ltd,27AADCT2765Q1ZO,2026-03-28,20598400,20598400,2026-03-28
INV0504,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2024-09-08,21335600,21335600,2024-09-08
INV/0120,HCL TECHNOLOGIES LIMITED,06AABCH1234N1ZR,2025-04-18,47783100,47783100,2025-04-19
INV0202,HCL Technologies Ltd,06AABCH1234N1ZR,2026-03-31,14287600,14287600,2026-03-31
INV/0102,COGNIZANT TECHNOLOGY SOLS PVT LTD,33AABCC1234K1ZT,2025-04-09,27120800,27120800,2025-04-09
INV-0124,TATA CONSULTANCY SERVICES LIMITED,27AADCT2765Q1ZO,2025-09-29,8722000,8722000,2025-09-29
INV0307,INFOSYS BPO PRIVATE LIMITED,29AABCI1234P1Z5,2025-09-10,82089200,82089200,2025-09-10
INV0214,Cognizant Technology Solutions,33AABCC1234K1ZT,2026-03-30,18704400,18704400,2026-03-30
INV0502,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2025-03-29,6163500,6163500,2025-03-29
INV/0125,COGNIZANT TECHNOLOGY SOLS PVT LTD,33AABCC1234K1ZT,2025-06-11,17478200,17478200,2025-06-14
INV-0114,INFOSYS BPO PRIVATE LIMITED,29AABCI1234P1Z5,2025-09-22,46527700,46527700,2025-09-24
INV-0103,COGNIZANT TECHNOLOGY SOLS PVT LTD,33AABCC1234K1ZT,2025-09-14,15424800,15424800,2025-09-14
INV0205,Tata Consultancy Services Ltd,27AADCT2765Q1ZO,2026-03-28,16616400,16616400,2026-03-28
INV0302,TATA CONSULTANCY SERVICES LIMITED,27AADCT2765Q1ZO,2025-08-16,17681900,17681900,2025-08-16
INV/0123,INFOSYS BPO PRIVATE LIMITED,29AABCI1234P1Z5,2025-04-17,16780600,16780600,2025-04-18
INV0113,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2025-05-06,16498700,16498700,2025-05-07
INV-0115,COGNIZANT TECHNOLOGY SOLS PVT LTD,33AABCC1234K1ZT,2025-09-22,5601900,5601900,2025-09-24
INV-0110,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2025-04-15,49189700,49189700,2025-04-15
INV-0109,TATA CONSULTANCY SERVICES LIMITED,27AADCT2765Q1ZO,2025-09-10,36936000,36936000,2025-09-11
INV-0106,COGNIZANT TECHNOLOGY SOLS PVT LTD,33AABCC1234K1ZT,2025-07-06,11544400,11544400,2025-07-07
INV0210,Cognizant Technology Solutions,33AABCC1234K1ZT,2026-03-28,24286900,24286900,2026-03-28
INV/0121,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2025-09-03,32665300,32665300,2025-09-04
INV-0122,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2025-09-19,25918600,25918600,2025-09-19
INV0304,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2025-09-15,74139000,74139000,2025-09-15
INV0305,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2025-04-27,79561300,79561300,2025-04-27
INV0119,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2025-06-18,48603200,48603200,2025-06-18
INV0105,TATA CONSULTANCY SERVICES LIMITED,27AADCT2765Q1ZO,2025-04-25,24919100,24919100,2025-04-28
INV0503,COGNIZANT TECHNOLOGY SOLS PVT LTD,33AABCC1234K1ZT,2025-03-10,23005500,23005500,2025-03-10
INV0312,INFOSYS BPO PRIVATE LIMITED,29AABCI1234P1Z5,2025-06-18,14386000,14386000,2025-06-18
INV0311,INFOSYS BPO PRIVATE LIMITED,29AABCI1234P1Z5,2025-04-10,67209200,67209200,2025-04-10
INV0310,HCL TECHNOLOGIES LIMITED,06AABCH1234N1ZR,2025-04-03,68815300,68815300,2025-04-03
INV0209,Cognizant Technology Solutions,33AABCC1234K1ZT,2026-03-31,22350500,22350500,2026-03-31
INV-0702,Sharma Enterprises,29AABCS2222B1Z2,2025-07-18,10794100,10794100,2025-07-18
INV0309,INFOSYS BPO PRIVATE LIMITED,29AABCI1234P1Z5,2025-06-07,76806100,76806100,2025-06-07
INV/0117,COGNIZANT TECHNOLOGY SOLS PVT LTD,33AABCC1234K1ZT,2025-05-16,44948700,44948700,2025-05-17
INV0206,Tata Consultancy Services Ltd,27AADCT2765Q1ZO,2026-03-29,7444800,7444800,2026-03-29
INV0404,Tata Consultancy Services Ltd,27AADCT2765Q1ZO,2025-04-10,25056200,25056200,2025-04-10
INV0308,TATA CONSULTANCY SERVICES LIMITED,27AADCT2765Q1ZO,2025-09-10,19678100,19678100,2025-09-10
INV-0111,INFOSYS BPO PRIVATE LIMITED,29AABCI1234P1Z5,2025-06-20,34736500,34736500,2025-06-21
INV0406,Wipro Technologies,29AABCW1234M1ZP,2025-04-18,19606800,19606800,2025-04-18
INV0204,Cognizant Technology Solutions,33AABCC1234K1ZT,2026-03-29,16760100,16760100,2026-03-29
INV0211,Cognizant Technology Solutions,33AABCC1234K1ZT,2026-03-29,29101100,29101100,2026-03-29
INV0402,Cognizant Technology Solutions,33AABCC1234K1ZT,2025-05-31,13103000,13103000,2025-05-31
INV0403,Infosys BPO Pvt Ltd,29AABCI1234P1Z5,2025-07-15,22416000,22416000,2025-07-15
INV0505,COGNIZANT TECHNOLOGY SOLS PVT LTD,33AABCC1234K1ZT,2025-03-08,13107700,13107700,2025-03-08
INV0405,Wipro Technologies,29AABCW1234M1ZP,2025-05-29,21000700,21000700,2025-05-29
INV0301,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2025-04-19,88838700,88838700,2025-04-19
INV0508,WIPRO TECHNOLOGIES LTD,29AABCW1234M1ZP,2024-07-17,12521200,12521200,2024-07-17
INV-0701,Sharma Enterprises,29AABCS2222B1Z2,2025-09-24,25198100,25198100,2025-09-24
INV0118,INFOSYS BPO PRIVATE LIMITED,29AABCI1234P1Z5,2025-05-12,24603800,24603800,2025-05-12
INV0407,Cognizant Technology Solutions,33AABCC1234K1ZT,2025-04-08,22361700,22361700,2025-04-08
INV/0116,TATA CONSULTANCY SERVICES LIMITED,27AADCT2765Q1ZO,2025-07-21,20387800,20387800,2025-07-23
