record_id,ground_truth
pay_20dd2c7070d5,AMOUNT_MISMATCH
pay_67acbbf00f61,ITC_TIME_BAR
pay_2dd3eb35b5b7,AMOUNT_MISMATCH
pay_3081cd271e37,EXACT_MATCH
pay_29f145e69b93,ITC_TIME_BAR
pay_54bc2518d018,TIMING_DIFF
pay_04f1a73f0c31,TIMING_DIFF
pay_e9b2a329c45e,EXACT_MATCH
pay_e352526b49a8,TIMING_DIFF
pay_dca656e2eddf,RULE_37A
pay_e9c1b82389bc,EXACT_MATCH
pay_064c3cbfa795,EXACT_MATCH
pay_18d253b212f5,TIMING_DIFF
pay_288a3fa5cc4c,TIMING_DIFF
pay_8ae3b01e0cf1,TIMING_DIFF
pay_a0d041b869e6,ITC_TIME_BAR
pay_5d43de20e5a8,EXACT_MATCH
pay_ac6724dda4ba,TIMING_DIFF
pay_8ba8f8378f3b,EXACT_MATCH
pay_d4ed9b3a4111,EXACT_MATCH
pay_606c107d4940,AMOUNT_MISMATCH
pay_5b2973ab58b7,TIMING_DIFF
pay_f47f1985f2ec,ITC_TIME_BAR
pay_3a39d8360b8a,EXACT_MATCH
pay_451c8062b161,EXACT_MATCH
pay_e0cb6e38ff72,EXACT_MATCH
pay_63a64f66753e,MISSING_ENTRY
pay_d5f9d0ff638a,TIMING_DIFF
pay_af2ce443e821,AMOUNT_MISMATCH
pay_62669b96cd8d,EXACT_MATCH
pay_d8d645177ac1,EXACT_MATCH
pay_179284ae81e2,EXACT_MATCH
pay_4e7b17cec150,EXACT_MATCH
pay_efbed4295676,EXACT_MATCH
pay_32dd53d4eea0,EXACT_MATCH
pay_c220d60c8c95,TIMING_DIFF
pay_5e46cded0f8a,EXACT_MATCH
pay_a15327704de6,EXACT_MATCH
pay_3115f9aa2dd1,AMOUNT_MISMATCH
pay_acbb8c1dc4e3,AMOUNT_MISMATCH
pay_a9c2a93dc5e0,EXACT_MATCH
pay_03ca8d9ab743,EXACT_MATCH
pay_a381696ee911,ITC_TIME_BAR
pay_c0ec1fe6995b,AMOUNT_MISMATCH
pay_e248728de925,AMOUNT_MISMATCH
pay_a3dbeef113e2,AMOUNT_MISMATCH
pay_243be3fba279,MISSING_ENTRY
pay_520bf54bbb37,TIMING_DIFF
pay_0829b515a648,MISSING_ENTRY
pay_cfe8062ddacd,GSTIN_CONFLICT_TRAP
pay_5dded9e238a1,MISSING_ENTRY
pay_c9211c713a8d,AMOUNT_MISMATCH
pay_164edade13a0,EXACT_MATCH
pay_1ee8f5acb536,MISSING_ENTRY
pay_17fa527c3a7b,TIMING_DIFF
pay_703417330bd1,RULE_37A
pay_2d45490be800,AMOUNT_MISMATCH
pay_d02148657ae2,EXACT_MATCH
pay_b52538a46882,RULE_37A
pay_19bc4e476e76,TIMING_DIFF
pay_532f8214f1d9,TIMING_DIFF
pay_243384d1b6f3,MISSING_ENTRY
pay_107ea4e18c69,RULE_37A
pay_9130c12891c9,RULE_37A
pay_36b603677cb2,ITC_TIME_BAR
pay_5aeff7a87031,RULE_37A
pay_ed4a049f9aff,AMOUNT_MISMATCH
pay_242c4e9b9aa7,ITC_TIME_BAR
pay_a15a85e43fc0,GSTIN_CONFLICT_TRAP
pay_b46e5499fb52,EXACT_MATCH
pay_db9eb62da194,RULE_37A
pay_59afd4002df4,EXACT_MATCH
pay_27418d003dfc,TIMING_DIFF
pay_f6e77acefa32,MISSING_ENTRY
pay_4c7a37fc6d14,EXACT_MATCH
pay_d9ed81ba53c9,RULE_37A
pay_e29c458c6fd5,ITC_TIME_BAR
