gstin_supplier,invoice_no,invoice_date,taxable_value_paise,total_paise,itc_available,supplier_filed
27AADCT2765Q1ZO,INV0303,2025-07-04,35615000,35615000,True,True
33AABCC1234K1ZT,INV0506,2024-07-08,8336700,8336700,True,True
33AABCC1234K1ZT,INV0306,2025-06-09,26299800,26299800,True,True
29AABCI1234P1Z5,INV0104,2025-07-18,41602600,41602600,True,True
06AABCH1234N1ZR,INV0501,2024-12-18,20891400,20891400,True,True
29AABCI1234P1Z5,INV0201,2026-03-31,25568300,25568300,True,True
27AADCT2765Q1ZO,INV0203,2026-03-31,6588900,6588900,True,True
06AABCH1234N1ZR,INV0108,2025-07-26,19573800,19573800,True,True
29AABCI1234P1Z5,INV0213,2026-03-28,20176000,20176000,True,True
29AABCI1234P1Z5,INV0401,2025-04-27,39966500,39966500,False,False
27AADCT2765Q1ZO,INV0101,2025-06-10,6311200,6311200,True,True
29AABCW1234M1ZP,INV0112,2025-06-03,12320600,12320600,True,True
29AABCW1234M1ZP,INV0208,2026-03-31,29288100,29288100,True,True
29AABCI1234P1Z5,INV0215,2026-03-31,11962900,11962900,True,True
27AADCT2765Q1ZO,INV0212,2026-03-28,20598400,20598400,True,True
29AABCW1234M1ZP,INV0504,2024-09-08,21335600,21335600,True,True
06AABCH1234N1ZR,INV0120,2025-04-18,47783100,47783100,True,True
06AABCH1234N1ZR,INV0202,2026-03-31,14287600,14287600,True,True
33AABCC1234K1ZT,INV0102,2025-04-09,27120800,27120800,True,True
27AADCT2765Q1ZO,INV0124,2025-09-29,8722000,8722000,True,True
29AABCI1234P1Z5,INV0307,2025-09-10,82089200,82089200,True,True
33AABCC1234K1ZT,INV0214,2026-03-30,18704400,18704400,True,True
29AABCW1234M1ZP,INV0502,2025-03-29,6163500,6163500,True,True
33AABCC1234K1ZT,INV0125,2025-06-11,17478200,17478200,True,True
29AABCI1234P1Z5,INV0114,2025-09-22,46527700,46527700,True,True
33AABCC1234K1ZT,INV0103,2025-09-14,15424800,15424800,True,True
27AADCT2765Q1ZO,INV0205,2026-03-28,16616400,16616400,True,True
27AADCT2765Q1ZO,INV0302,2025-08-16,17681900,17681900,True,True
29AABCI1234P1Z5,INV0123,2025-04-17,16780600,16780600,True,True
29AABCW1234M1ZP,INV0113,2025-05-06,16498700,16498700,True,True
33AABCC1234K1ZT,INV0115,2025-09-22,5601900,5601900,True,True
29AABCW1234M1ZP,INV0110,2025-04-15,49189700,49189700,True,True
27AADCT2765Q1ZO,INV0109,2025-09-10,36936000,36936000,True,True
33AABCC1234K1ZT,INV0106,2025-07-06,11544400,11544400,True,True
33AABCC1234K1ZT,INV0210,2026-03-28,24286900,24286900,True,True
29AABCW1234M1ZP,INV0121,2025-09-03,32665300,32665300,True,True
29AABCW1234M1ZP,INV0122,2025-09-19,25918600,25918600,True,True
29AABCW1234M1ZP,INV0304,2025-09-15,74139000,74139000,True,True
29AABCW1234M1ZP,INV0305,2025-04-27,79561300,79561300,True,True
29AABCW1234M1ZP,INV0119,2025-06-18,48603200,48603200,True,True
27AADCT2765Q1ZO,INV0105,2025-04-25,24919100,24919100,True,True
33AABCC1234K1ZT,INV0503,2025-03-10,23005500,23005500,True,True
29AABCI1234P1Z5,INV0312,2025-06-18,14386000,14386000,True,True
29AABCI1234P1Z5,INV0311,2025-04-10,67209200,67209200,True,True
06AABCH1234N1ZR,INV0310,2025-04-03,68815300,68815300,True,True
33AABCC1234K1ZT,INV0209,2026-03-31,22350500,22350500,True,True
29AABCI1234P1Z5,INV0309,2025-06-07,76806100,76806100,True,True
33AABCC1234K1ZT,INV0117,2025-05-16,44948700,44948700,True,True
27AADCT2765Q1ZO,INV0206,2026-03-29,7444800,7444800,True,True
27AADCT2765Q1ZO,INV0404,2025-04-10,25056200,25056200,False,False
27AADCT2765Q1ZO,INV0308,2025-09-10,19678100,19678100,True,True
29AABCI1234P1Z5,INV0111,2025-06-20,34736500,34736500,True,True
29AABCW1234M1ZP,INV0406,2025-04-18,19606800,19606800,False,False
33AABCC1234K1ZT,INV0204,2026-03-29,16760100,16760100,True,True
33AABCC1234K1ZT,INV0211,2026-03-29,29101100,29101100,True,True
33AABCC1234K1ZT,INV0402,2025-05-31,13103000,13103000,False,False
29AABCI1234P1Z5,INV0403,2025-07-15,22416000,22416000,False,False
33AABCC1234K1ZT,INV0505,2025-03-08,13107700,13107700,True,True
29AABCW1234M1ZP,INV0405,2025-05-29,21000700,21000700,False,False
29AABCW1234M1ZP,INV0301,2025-04-19,88838700,88838700,True,True
29AABCW1234M1ZP,INV0508,2024-07-17,12521200,12521200,True,True
29AABCI1234P1Z5,INV0118,2025-05-12,24603800,24603800,True,True
33AABCC1234K1ZT,INV0407,2025-04-08,22361700,22361700,False,False
27AADCT2765Q1ZO,INV0116,2025-07-21,20387800,20387800,True,True
06AABCH1234N1ZR,INV0207,2026-03-28,28656900,28656900,True,True
27AADCT2765Q1ZO,INV0107,2025-09-17,7402500,7402500,True,True
27AADCT2765Q1ZO,INV0408,2025-08-31,10683400,10683400,False,False
29AABCI1234P1Z5,INV0507,2025-01-17,21135300,21135300,True,True
