txn_id,invoice_ref,vendor_gstin,merchant_gstin,settlement_date,amount_paise,utr
pay_20dd2c7070d5,INV0303,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-07-09,32053500,UTR669605
pay_67acbbf00f61,INV/0506,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-12-14,8336700,UTR810219
pay_2dd3eb35b5b7,INV/0306,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-06-14,25773804,UTR459536
pay_3081cd271e37,INV/0104,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-07-24,41602600,UTR900581
pay_29f145e69b93,INV-0501,06AABCH1234N1ZR,27AADCM9876R1ZX,2025-12-04,20891400,UTR299312
pay_54bc2518d018,INV0201,29AABCI1234P1Z5,27AADCM9876R1ZX,2026-04-07,25568300,UTR790993
pay_04f1a73f0c31,INV0203,27AADCT2765Q1ZO,27AADCM9876R1ZX,2026-04-06,6588900,UTR299448
pay_e9b2a329c45e,INV/0108,06AABCH1234N1ZR,27AADCM9876R1ZX,2025-08-06,19573800,UTR472528
pay_e352526b49a8,INV0213,29AABCI1234P1Z5,27AADCM9876R1ZX,2026-04-10,20176000,UTR712024
pay_dca656e2eddf,INV/0401,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-05-03,39966500,UTR526117
pay_e9c1b82389bc,INV-0101,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-06-14,6311200,UTR207473
pay_064c3cbfa795,INV/0112,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-06-15,12320600,UTR549245
pay_18d253b212f5,INV-0208,29AABCW1234M1ZP,27AADCM9876R1ZX,2026-04-05,29288100,UTR865990
pay_288a3fa5cc4c,INV/0215,29AABCI1234P1Z5,27AADCM9876R1ZX,2026-04-03,11962900,UTR579434
pay_8ae3b01e0cf1,INV-0212,27AADCT2765Q1ZO,27AADCM9876R1ZX,2026-04-04,20598400,UTR697347
pay_a0d041b869e6,INV0504,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-12-22,21335600,UTR414910
pay_5d43de20e5a8,INV-0120,06AABCH1234N1ZR,27AADCM9876R1ZX,2025-05-01,47783100,UTR598369
pay_ac6724dda4ba,INV-0202,06AABCH1234N1ZR,27AADCM9876R1ZX,2026-04-07,14287600,UTR156802
pay_8ba8f8378f3b,INV0102,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-04-10,27120800,UTR629903
pay_d4ed9b3a4111,INV0124,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-10-10,8722000,UTR132938
pay_606c107d4940,INV/0307,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-09-15,73880280,UTR987204
pay_5b2973ab58b7,INV0214,33AABCC1234K1ZT,27AADCM9876R1ZX,2026-04-05,18704400,UTR429445
pay_f47f1985f2ec,INV0502,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-12-14,6163500,UTR945687
pay_3a39d8360b8a,inv0125,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-06-22,17478200,UTR238739
pay_451c8062b161,INV0114,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-09-29,46527700,UTR724834
pay_e0cb6e38ff72,inv0103,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-09-26,15424800,UTR717889
pay_63a64f66753e,INV0607,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-08-05,13065700,UTR254739
pay_d5f9d0ff638a,INV/0205,27AADCT2765Q1ZO,27AADCM9876R1ZX,2026-04-01,16616400,UTR976638
pay_af2ce443e821,INV/0302,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-08-20,17328262,UTR465962
pay_62669b96cd8d,INV0123,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-04-23,16780600,UTR341292
pay_d8d645177ac1,inv0113,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-05-15,16498700,UTR149405
pay_179284ae81e2,INV0115,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-10-04,5601900,UTR663054
pay_4e7b17cec150,INV0110,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-04-19,49189700,UTR520651
pay_efbed4295676,INV-0109,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-09-13,36936000,UTR497887
pay_32dd53d4eea0,INV/0106,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-07-08,11544400,UTR748564
pay_c220d60c8c95,INV0210,33AABCC1234K1ZT,27AADCM9876R1ZX,2026-04-06,24286900,UTR599948
pay_5e46cded0f8a,INV-0121,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-09-10,32665300,UTR891952
pay_a15327704de6,INV/0122,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-09-30,25918600,UTR642717
pay_3115f9aa2dd1,INV0304,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-09-24,73397610,UTR681542
pay_acbb8c1dc4e3,INV-0305,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-04-30,78765687,UTR212235
pay_a9c2a93dc5e0,INV0119,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-06-22,48603200,UTR694916
pay_03ca8d9ab743,INV/0105,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-05-01,24919100,UTR946335
pay_a381696ee911,INV-0503,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-12-07,23005500,UTR796503
pay_c0ec1fe6995b,INV0312,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-06-24,14242140,UTR320281
pay_e248728de925,INV/0311,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-04-16,60488280,UTR550664
pay_a3dbeef113e2,INV0310,06AABCH1234N1ZR,27AADCM9876R1ZX,2025-04-05,67438994,UTR824586
pay_243be3fba279,INV0605,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-06-02,4211400,UTR740967
pay_520bf54bbb37,INV0209,33AABCC1234K1ZT,27AADCM9876R1ZX,2026-04-03,22350500,UTR161324
pay_0829b515a648,INV0602,06AABCH1234N1ZR,27AADCM9876R1ZX,2025-09-16,7448300,UTR640490
pay_cfe8062ddacd,INV0702,27AAJCS1111A1Z1,27AADCM9876R1ZX,2025-07-22,10794100,UTR829716
pay_5dded9e238a1,INV0606,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-07-16,14938400,UTR703634
pay_c9211c713a8d,INV/0309,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-06-10,76038039,UTR839945
pay_164edade13a0,INV0117,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-05-25,44948700,UTR412942
pay_1ee8f5acb536,INV0601,06AABCH1234N1ZR,27AADCM9876R1ZX,2025-07-23,14581100,UTR636004
pay_17fa527c3a7b,INV-0206,27AADCT2765Q1ZO,27AADCM9876R1ZX,2026-04-03,7444800,UTR324130
pay_703417330bd1,INV0404,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-04-18,25056200,UTR582662
pay_2d45490be800,INV-0308,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-09-17,19481319,UTR449759
pay_d02148657ae2,inv0111,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-06-24,34736500,UTR774079
pay_b52538a46882,INV-0406,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-04-23,19606800,UTR519093
pay_19bc4e476e76,INV0204,33AABCC1234K1ZT,27AADCM9876R1ZX,2026-04-07,16760100,UTR361941
pay_532f8214f1d9,INV/0211,33AABCC1234K1ZT,27AADCM9876R1ZX,2026-04-01,29101100,UTR294851
pay_243384d1b6f3,INV0603,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-04-24,11786700,UTR887625
pay_107ea4e18c69,INV0402,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-06-03,13103000,UTR125990
pay_9130c12891c9,INV-0403,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-07-19,22416000,UTR835343
pay_36b603677cb2,INV-0505,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-12-14,13107700,UTR410016
pay_5aeff7a87031,INV0405,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-06-02,21000700,UTR517821
pay_ed4a049f9aff,INV-0301,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-04-20,87950313,UTR690341
pay_242c4e9b9aa7,INV/0508,29AABCW1234M1ZP,27AADCM9876R1ZX,2025-12-14,12521200,UTR437902
pay_a15a85e43fc0,INV0701,27AAJCS1111A1Z1,27AADCM9876R1ZX,2025-09-25,25198100,UTR907451
pay_b46e5499fb52,INV0118,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-05-21,24603800,UTR612340
pay_db9eb62da194,INV-0407,33AABCC1234K1ZT,27AADCM9876R1ZX,2025-04-10,22361700,UTR378361
pay_59afd4002df4,inv0116,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-07-24,20387800,UTR857168
pay_27418d003dfc,INV-0207,06AABCH1234N1ZR,27AADCM9876R1ZX,2026-04-03,28656900,UTR509386
pay_f6e77acefa32,INV0604,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-05-28,11137400,UTR254511
pay_4c7a37fc6d14,INV/0107,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-09-21,7402500,UTR996865
pay_d9ed81ba53c9,INV-0408,27AADCT2765Q1ZO,27AADCM9876R1ZX,2025-09-07,10683400,UTR428914
pay_e29c458c6fd5,INV-0507,29AABCI1234P1Z5,27AADCM9876R1ZX,2025-12-10,21135300,UTR100425
